min,median,mean,max,stddev,config,bench
sksl_compiler_baseline: 15264 bytes
sksl_compiler_gpu: 411696 bytes
sksl_compiler_graphite: 1177152 bytes
sksl_compiler_compute: 20320 bytes
sksl_binary_size_gpu: 22605 bytes
sksl_binary_size_graphite: 29961 bytes
sksl_binary_size_compute: 507 bytes
0.045675,0.0460045,0.0460332,0.046853,0.716543,grmtl,Clear-Complex
0.0431379,0.0436868,0.0435751,0.044185,0.874907,grmtl,Clear-Partial
0.0222004,0.0223478,0.0223968,0.0226554,0.650355,grmtl,Clear-Full
13.698,13.7839,13.7735,13.8705,0.417988,grmtl,bulkrect_1000_grid_solidcolor_quad
14.1115,14.2141,14.1915,14.2731,0.447127,grmtl,bulkrect_1000_grid_solidcolor_ref
224.306,237.837,236.909,250.889,3.3845,grmtl,bulkrect_1000_grid_uniqueimages_ref
225.425,230.187,230.935,239.815,2.06287,grmtl,bulkrect_1000_grid_uniqueimages_batch
17.7332,17.8576,17.9071,18.7364,1.66622,grmtl,bulkrect_1000_grid_sharedimage_ref
14.1825,14.2466,14.282,14.4243,0.574039,grmtl,bulkrect_1000_grid_sharedimage_batch
13.9127,13.9718,13.9833,14.0842,0.460515,grmtl,bulkrect_1000_random_solidcolor_quad
14.2621,14.3177,14.3438,14.5545,0.61098,grmtl,bulkrect_1000_random_solidcolor_ref
227.406,237.954,237.121,253.667,3.90718,grmtl,bulkrect_1000_random_uniqueimages_ref
219.294,237.014,236.467,247.733,3.76075,grmtl,bulkrect_1000_random_uniqueimages_batch
17.8221,18.0237,18.0189,18.1332,0.487102,grmtl,bulkrect_1000_random_sharedimage_ref
14.2431,14.3698,14.3681,14.5104,0.516775,grmtl,bulkrect_1000_random_sharedimage_batch
1.47718,1.48805,1.48714,1.49751,0.485227,grmtl,writepix_um_bgra_srgb
0.234359,0.24002,0.239982,0.247627,1.87469,grmtl,writepix_pm_bgra_srgb
1.47794,1.49879,1.49626,1.50698,0.642102,grmtl,writepix_um_bgra_null
0.236929,0.242692,0.241532,0.247077,1.24162,grmtl,writepix_pm_bgra_null
1.49825,1.51631,1.51382,1.53474,0.962542,grmtl,writepix_um_rgba_srgb
0.050546,0.0550927,0.0562543,0.0629203,6.90216,grmtl,writepix_pm_rgba_srgb
1.47949,1.49201,1.49476,1.51796,0.937635,grmtl,writepix_um_rgba_null
0.0483586,0.0545669,0.0556866,0.0675198,10.1309,grmtl,writepix_pm_rgba_null
0.000958727,0.000970495,0.000970076,0.000979596,0.638995,grmtl,drawAtlas_colors_rotated
0.000959635,0.000966338,0.000965833,0.000972475,0.39713,grmtl,drawAtlas_colors
0.000972567,0.000979511,0.000978451,0.000987716,0.537715,grmtl,drawAtlas_persp
0.000960223,0.000968379,0.000968421,0.000978069,0.61329,grmtl,drawAtlas_rotated
0.000956855,0.000967342,0.000966667,0.000976101,0.605858,grmtl,drawAtlas
0.410599,0.418872,0.417345,0.421394,0.83382,grmtl,verts_textures_colors_bilerp
0.412519,0.417401,0.417443,0.422567,0.681239,grmtl,verts_textures_colors
0.340789,0.343114,0.343645,0.348786,0.714247,grmtl,verts_colors
0.336408,0.341078,0.340686,0.347347,0.893786,grmtl,verts_textures_bilerp
0.338219,0.340997,0.340826,0.343539,0.493932,grmtl,verts_textures
0.341131,0.346775,0.346351,0.350478,1.00014,grmtl,verts_colors_persp
0.341364,0.346561,0.346442,0.350569,0.821991,grmtl,verts_textures_persp_bilerp
0.339997,0.3424,0.342588,0.346733,0.658594,grmtl,verts_textures_persp
11.1746,12.0515,11.878,12.5944,4.10123,grmtl,tile_image_filter_tiled_64
60.4429,64.8299,64.9072,70.7367,5.00042,grmtl,tile_image_filter_tiled_32
0.159837,0.166005,0.165835,0.176014,2.65591,grmtl,tile_image_filter
0.0322255,0.0326352,0.0325779,0.0330067,0.735259,grmtl,constXTile_MM_filter_trans
0.0321226,0.0325476,0.0325256,0.0328723,0.718726,grmtl,constXTile_RR_filter_trans
0.0321826,0.0324599,0.0324599,0.0327999,0.614815,grmtl,constXTile_CC_trans
0.0194364,0.0196565,0.0196628,0.0198571,0.77033,grmtl,constXTile_MM_filter
0.0195192,0.019738,0.019723,0.0199873,0.850106,grmtl,constXTile_RR_filter
0.0195266,0.0198245,0.0197949,0.0200619,0.88509,grmtl,constXTile_CC
6.70817,6.75871,6.76671,6.84896,0.58704,grmtl,TextBlobFirstTimeBench
3.34246,3.37479,3.37434,3.40902,0.629304,grmtl,TextBlobCachedBench
57.5727,57.7163,57.707,57.8526,0.15719,grmtl,tablebench
Could not find factory  for Noto Sans.
3.05421,3.10217,3.10855,3.19994,1.40413,grmtl,shapes_rrect_inner_rrect_50_500x500
2.69731,2.71904,2.72313,2.76819,0.887489,grmtl,shapes_rect_inner_rect_50_500x500
27.5817,27.8092,27.7374,27.9207,0.440406,grmtl,shapes_rrect_inner_rrect_500_32x32
23.7459,23.8391,23.8938,24.076,0.487151,grmtl,shapes_rect_inner_rect_500_32x32
2.8391,2.8541,2.85956,2.91098,0.757225,grmtl,shapes_mixed_100_500x501
2.82987,2.86004,2.85812,2.90885,0.860356,grmtl,shapes_rrect_100_500x500
2.84831,2.87585,2.8744,2.94323,0.995017,grmtl,shapes_oval_100_500x501
2.83479,2.87579,2.87082,2.89052,0.60796,grmtl,shapes_oval_100_500x500
2.76877,2.79102,2.79375,2.83271,0.729074,grmtl,shapes_rect_100_500x500
257.033,257.871,257.747,258.496,0.188668,grmtl,shapes_mixed_10000_32x33
